"ID","Gender","Gender.quant","Age","Nationality","Country_of_residence","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_prefs","prefs_string"
"15127829","Woman","1","49","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15127855","Woman","1","32","United States","United States",NA,NA,NA,"mixed",NA,NA,NA,"Multiple","FALSE","mixed","mixed"
"15127885","Woman","1","52","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15130816","Woman","1","63","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15130866","Man","2","25","United States","United States","Arab or Arab British",NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","TRUE","c(""Arab or Arab British"", ""British or English or Scottish or Welsh or Northern Irish"")","Arab or Arab British; British or English or Scottish or Welsh or Northern Irish"
"15130868","Man","2","35","United States","United States",NA,NA,NA,NA,"Irish",NA,NA,"White","FALSE","Irish","Irish"
"15130875","Man","2","45","United States","United States",NA,NA,NA,"Native American/Caucasian ",NA,NA,NA,"Multiple","FALSE","Native American/Caucasian ","Native American/Caucasian "
"15131578","Woman","1","62","United States","United States",NA,NA,"African or African British",NA,NA,NA,NA,"Black","FALSE","African or African British","African or African British"
"15132288","Woman","1","67","United States","United States",NA,NA,NA,NA,"Irish",NA,NA,"White","FALSE","Irish","Irish"
"15132321","Woman","1","55","United States","United States",NA,NA,NA,NA,"American",NA,NA,"White","FALSE","American","American"
"15132332","Man","2","34","United States","United States",NA,NA,NA,NA,"German",NA,NA,"White","FALSE","German","German"
"15132357","Man","2","31","United States","United States","arab",NA,NA,NA,NA,NA,"American ","Arab","TRUE","c(""arab"", ""American "")","arab; American "
"15132361","Man","2","35","United States","United States",NA,NA,NA,"Any other mixed or multiple ethnic backgrounds (specify, if you wish).","British or English or Scottish or Welsh or Northern Irish","Prefer not to say",NA,"White","TRUE","c(""Any other mixed or multiple ethnic backgrounds (specify, if you wish)."", ""British or English or Scottish or Welsh or Northern Irish"", ""Prefer not to say"")","Any other mixed or multiple ethnic backgrounds (specify, if you wish).; British or English or Scottish or Welsh or Northern Irish; Prefer not to say"
"15132390","Man","2","28","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15132437","Woman","1","52","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15132455","Woman","1","41","United States","United States",NA,"Korean",NA,NA,NA,NA,NA,"Asian","FALSE","Korean","Korean"
"15132462","Man","2","67","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15132474","Woman","1","48","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15132476","Man","2","39","United States","United States",NA,"Bangladeshi or Bangladeshi British","Caribbean or Caribbean British","White or White British *and* Asian or Asian British","Gypsy or Irish Traveller or Traveller or Roma",NA,NA,"White","TRUE","c(""Bangladeshi or Bangladeshi British"", ""Caribbean or Caribbean British"", ""White or White British *and* Asian or Asian British"", ""Gypsy or Irish Traveller or Traveller or Roma"")","Bangladeshi or Bangladeshi British; Caribbean or Caribbean British; White or White British *and* Asian or Asian British; Gypsy or Irish Traveller or Traveller or Roma"
"15132481","Man","2","44","United States","United States",NA,NA,NA,NA,"American",NA,NA,"White","FALSE","American","American"
"15132486","Woman","1","37","United States","United States",NA,NA,NA,NA,NA,"Prefer not to say",NA,"No preference","FALSE","Prefer not to say","Prefer not to say"
"15132540","Prefer Not To Say","4","45","United States","United States",NA,NA,NA,NA,NA,"Prefer not to say",NA,"No preference","FALSE","Prefer not to say","Prefer not to say"
"15132574","Man","2","40","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
"15132588","Woman","1","64","United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White","FALSE","British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish"
