"","Submission.id","Participant.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status"
"1","698dc6e9a715d6191171ff5e","683cbc0c0c2d722831c8bc17","AWAITING REVIEW","Not Applicable","2026-02-12T12:26:23.275000Z","2026-02-12T13:01:45.776000Z",NA,"2026-02-12T13:01:46.140443Z",2123,"CWLQFHAM",2066,"49","Female","White","United States","United States","United States","English","No","Part-Time"
"2","698dc766aae1dcd5035bda2d","697dd67958db8cc58de94953","AWAITING REVIEW","Not Applicable","2026-02-12T12:28:42.995000Z","2026-02-12T12:58:10.304000Z",NA,"2026-02-12T12:58:10.661619Z",1768,"CWLQFHAM",223,"32","Female","Mixed","United States","United States","United States","English","No","Part-Time"
"3","698dc804a844c607be2cffef","5f627a1e4b807f1aa7e35280","AWAITING REVIEW","Not Applicable","2026-02-12T12:31:03.239000Z","2026-02-12T12:54:23.148000Z",NA,"2026-02-12T12:54:23.500651Z",1400,"CWLQFHAM",6091,"52","Female","White","United States","United States","United States","English","No","Full-Time"
"4","698dc593cc4afc5d7d03bd54","67e73cc7cf25bb683f36f62c","ACTIVE","Not Applicable","2026-02-12T12:21:27.427000Z","",NA,"",2826,"",4730,"21","Male","White","United States","United States","United States","English","Yes","Full-Time"
"5","698dc686a3f61cb58bfd9e0e","668c8323480134a3e3b9156e","RETURNED","Not Applicable","","",NA,"",NA,"",2854,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED"
"6","698dc84d94258474f4e66389","6942c1d48b8545e38cacc626","RETURNED","Not Applicable","2026-02-12T12:32:17.558000Z","",NA,"",NA,"",1764,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED"
"7","698dc8d75ec639314a5630c5","66ef36768bc403140fa01e35","RETURNED","Not Applicable","2026-02-12T12:34:34.435000Z","",NA,"",NA,"",2371,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED"
"8","698df3c5357d3b667db62651","67e830bb6eaebc236b9cd37e","AWAITING REVIEW","Not Applicable","2026-02-12T15:37:50.284000Z","2026-02-12T16:04:28.179000Z","","2026-02-12T16:04:28.526000Z",1598,"CWLQFHAM",5418,"63","Female","White","United States","United States","United States","English","No","Full-Time"
"9","698df6a0f229dcca9a8d590f","669150c4ca6ea56274c3e472","AWAITING REVIEW","Not Applicable","2026-02-12T15:49:55.394000Z","2026-02-12T16:08:50.504000Z","","2026-02-12T16:08:50.874742Z",1136,"CWLQFHAM",546,"25","Male","White","United States","United States","United States","English","No","Full-Time"
"10","698df6a2464b0007dbb8c17a","6702c3ee33eed6369eb34c8f","AWAITING REVIEW","Not Applicable","2026-02-12T15:50:00.318000Z","2026-02-12T16:18:34.602000Z","","2026-02-12T16:18:34.969185Z",1715,"CWLQFHAM",1250,"45","Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"11","698df6a51ea53ae88bc94c32","5ba91685d08ab20001c83a13","AWAITING REVIEW","Not Applicable","2026-02-12T15:50:04.748000Z","2026-02-12T16:09:03.939000Z","","2026-02-12T16:09:04.281593Z",1140,"CWLQFHAM",1325,"35","Male","White","Ireland","United States","United States","English","No","Full-Time"
