Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zmvq,counterbalance-5cg9,branch-65sy,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1770901218777,12/02/2026 13:00:18,1770901218453,-5,12/02/2026 08:00:18,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1536x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,BEGIN QUESTIONNAIRE,
2,1770901272580,12/02/2026 13:01:12,1770901272362,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender,Woman
3,1770901273113,12/02/2026 13:01:13,1770901272364,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender-quantised,1
4,1770901273113,12/02/2026 13:01:13,1770901272364,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Gender-text,
5,1770901273113,12/02/2026 13:01:13,1770901272364,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,Age,49
6,1770901273113,12/02/2026 13:01:13,1770901272364,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-arab-text,
7,1770901273113,12/02/2026 13:01:13,1770901272365,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-asian-text,
8,1770901273113,12/02/2026 13:01:13,1770901272365,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-black-text,
9,1770901273113,12/02/2026 13:01:13,1770901272365,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-multiple-text,
10,1770901273113,12/02/2026 13:01:13,1770901272365,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-white,British or English or Scottish or Welsh or Northern Irish
11,1770901273113,12/02/2026 13:01:13,1770901272366,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-white-quantised,1
12,1770901273113,12/02/2026 13:01:13,1770901272366,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-white-text,
13,1770901273113,12/02/2026 13:01:13,1770901272366,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,cultural-another-text,
14,1770901273113,12/02/2026 13:01:13,1770901272366,-5,12/02/2026 08:01:12,249979,6,questionnaire-qemh,,52657025,BLINDED,15127829,,complete,,698dc6e9a715d6191171ff5e,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x720,1521x730,,,,Generic Demographics,3,J_YES,2,consentProvided,No,END QUESTIONNAIRE,53913
1,1770901007735,12/02/2026 12:56:47,1770901007178,-5,12/02/2026 07:56:47,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1366x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,BEGIN QUESTIONNAIRE,
2,1770901052411,12/02/2026 12:57:32,1770901051876,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender,Woman
3,1770901052850,12/02/2026 12:57:32,1770901051878,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender-quantised,1
4,1770901052850,12/02/2026 12:57:32,1770901051878,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Gender-text,
5,1770901052850,12/02/2026 12:57:32,1770901051878,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,Age,32
6,1770901052850,12/02/2026 12:57:32,1770901051878,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-arab,"In another way (specify, if you wish)."
7,1770901052850,12/02/2026 12:57:32,1770901051879,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-arab-text,
8,1770901052850,12/02/2026 12:57:32,1770901051879,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-asian-text,
9,1770901052850,12/02/2026 12:57:32,1770901051879,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-black-text,
10,1770901052850,12/02/2026 12:57:32,1770901051880,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-multiple,"Any other mixed or multiple ethnic backgrounds (specify, if you wish)."
11,1770901052850,12/02/2026 12:57:32,1770901051880,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-multiple-text,mixed
12,1770901052850,12/02/2026 12:57:32,1770901051880,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-white-text,
13,1770901052850,12/02/2026 12:57:32,1770901051881,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,cultural-another-text,
14,1770901052850,12/02/2026 12:57:32,1770901051881,-5,12/02/2026 07:57:31,249979,6,questionnaire-qemh,,52656886,BLINDED,15127855,,complete,,698dc766aae1dcd5035bda2d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1366x768,1351x633,,,,Generic Demographics,3,F_YES,2,consentProvided,No,END QUESTIONNAIRE,44704
1,1770900824549,12/02/2026 12:53:44,1770900825106,-6,12/02/2026 06:53:45,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1067x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,BEGIN QUESTIONNAIRE,
2,1770900842729,12/02/2026 12:54:02,1770900843327,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender,Woman
3,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender-quantised,1
4,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Gender-text,
5,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,Age,52
6,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-arab-text,
7,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-asian-text,
8,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-black-text,
9,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-multiple-text,
10,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white,British or English or Scottish or Welsh or Northern Irish
11,1770900842878,12/02/2026 12:54:02,1770900843328,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white-quantised,1
12,1770900842878,12/02/2026 12:54:02,1770900843329,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-white-text,
13,1770900842878,12/02/2026 12:54:02,1770900843329,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,cultural-another-text,
14,1770900842878,12/02/2026 12:54:02,1770900843329,-6,12/02/2026 06:54:03,249979,6,questionnaire-qemh,,52656787,BLINDED,15127885,,complete,,698dc804a844c607be2cffef,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1600x900,1057x493,,,,Generic Demographics,3,J_YES,1,consentProvided,No,END QUESTIONNAIRE,18223
1,1770912231174,12/02/2026 16:03:51,1770912232149,-6,12/02/2026 10:03:52,249979,6,questionnaire-qemh,,52666561,BLINDED,15130816,,complete,,698df3c5357d3b667db62651,computer,Desktop or Laptop,Windows 10,Chrome 144.0.0.0,1715x965,1064x763,,,,Generic Demographics,3,J_YES,1,consentProvided,No,BEGIN QUESTIONNAIRE,
