Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698df3c5357d3b667db62651,67e830bb6eaebc236b9cd37e,AWAITING REVIEW,Not Applicable,2026-02-12T15:37:50.284000Z,2026-02-12T16:04:28.179000Z,,2026-02-12T16:04:28.526000Z,1598.0,CWLQFHAM,5418,63,Female,White,United States,United States,United States,English,No,Full-Time
698df6a0f229dcca9a8d590f,669150c4ca6ea56274c3e472,AWAITING REVIEW,Not Applicable,2026-02-12T15:49:55.394000Z,2026-02-12T16:08:50.504000Z,,2026-02-12T16:08:50.874742Z,1136.0,CWLQFHAM,546,25,Male,White,United States,United States,United States,English,No,Full-Time
698df6a2464b0007dbb8c17a,6702c3ee33eed6369eb34c8f,AWAITING REVIEW,Not Applicable,2026-02-12T15:50:00.318000Z,2026-02-12T16:18:34.602000Z,,2026-02-12T16:18:34.969185Z,1715.0,CWLQFHAM,1250,45,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
698df6a51ea53ae88bc94c32,5ba91685d08ab20001c83a13,AWAITING REVIEW,Not Applicable,2026-02-12T15:50:04.748000Z,2026-02-12T16:09:03.939000Z,,2026-02-12T16:09:04.281593Z,1140.0,CWLQFHAM,1325,35,Male,White,Ireland,United States,United States,English,No,Full-Time
698e0065e60c0eff1f184d4a,680c0636408121caf12fe0d1,AWAITING REVIEW,Not Applicable,2026-02-12T16:32:16.192000Z,2026-02-12T17:09:56.824000Z,,2026-02-12T17:09:57.161708Z,2261.0,CWLQFHAM,6884,62,Female,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
698e0ccf2fee8dd9a74a6072,62877d5f6a054e53313ac916,RETURNED,Not Applicable,2026-02-12T17:24:37.580000Z,,,2026-02-13T15:06:22.345750Z,,,14514,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0cd2dae44ce62970d15e,6369700320bc7dd22e733009,AWAITING REVIEW,Not Applicable,2026-02-12T17:24:40.773000Z,2026-02-12T17:44:37.483000Z,,2026-02-12T17:44:37.939864Z,1197.0,CWLQFHAM,10741,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
698e0cd8395799b6cb0790a4,663a8b6eababda7c864ed2ce,RETURNED,Not Applicable,2026-02-12T17:24:43.718000Z,,,2026-02-13T15:06:22.348944Z,,,750,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0d0b91147eef4074da21,65612a45629022b7c905ef6c,RETURNED,Not Applicable,2026-02-12T17:26:16.326000Z,,,2026-02-13T15:06:22.348176Z,,,3329,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0d0d043be69f07b77816,67ddf7048bb4a1eb57c71031,AWAITING REVIEW,Not Applicable,2026-02-12T17:32:20.279000Z,2026-02-12T18:36:35.468000Z,,2026-02-12T18:37:49.574250Z,3856.0,NOCODE,1949,39,Male,White,United States,United States,United States,English,No,Full-Time
698e0d22f2a1d9caa36ab42b,671d714b78c1624a723ee251,RETURNED,Not Applicable,2026-02-12T17:25:58.909000Z,,,2026-02-13T15:06:22.351480Z,,,2392,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0d4c98f2106882d2ec6b,617323e630f3fa36361cb35b,AWAITING REVIEW,Not Applicable,2026-02-12T17:26:40.691000Z,2026-02-12T17:46:42.158000Z,,2026-02-12T17:46:42.500454Z,1202.0,CWLQFHAM,8585,55,Female,White,United States,United States,United States,English,No,Full-Time
698e0d51e300501eaa785176,5ad7835e9c198c0001fad31a,AWAITING REVIEW,Not Applicable,2026-02-12T17:35:14.121000Z,2026-02-12T18:05:51.016000Z,,2026-02-12T18:05:51.527064Z,1837.0,CWLQFHAM,2672,37,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
698e0d55665d1e60f739e67a,673cf0b78dcb815764f01d60,RETURNED,Not Applicable,2026-02-12T17:27:25.882000Z,,,2026-02-13T15:06:22.351757Z,,,349,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0d8150a54e3e4dd5b9ed,616c056b42e788ef31efc4b0,AWAITING REVIEW,Not Applicable,2026-02-12T17:27:33.459000Z,2026-02-12T17:56:24.943000Z,,2026-02-12T17:56:25.299920Z,1732.0,CWLQFHAM,10035,41,Female,Asian,United States,United States,United States,English,No,Full-Time
698e0d8c2e9a686542cb12d8,5c1827dbebe9950001752e40,AWAITING REVIEW,Not Applicable,2026-02-12T17:27:44.120000Z,2026-02-12T17:45:47.846000Z,,2026-02-12T17:45:48.189794Z,1084.0,CWLQFHAM,4520,34,Male,White,United States,United States,United States,English,No,Full-Time
698e0dc22517eb6cf75d1b26,678af0a3161e3e871bbade54,RETURNED,Not Applicable,2026-02-12T17:28:58.283000Z,,,2026-02-13T15:06:22.352597Z,,,6515,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0ddc7e275e5f4f5769f1,607668ac450fc6e3025a131d,RETURNED,Not Applicable,2026-02-12T17:29:03.265000Z,,,2026-02-13T15:06:22.355222Z,,,7095,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0de9b4dcf8a3af4a9414,66cd40ce9bb246e2dc55429e,AWAITING REVIEW,Not Applicable,2026-02-12T17:29:17.273000Z,2026-02-12T17:49:12.180000Z,,2026-02-12T17:49:12.584241Z,1195.0,CWLQFHAM,1163,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
698e0df828e87679d144bcfc,6764cce7a10cc8e279651a57,AWAITING REVIEW,Not Applicable,2026-02-12T17:29:35.621000Z,2026-02-12T18:30:44.712000Z,,2026-02-12T18:30:45.082443Z,3670.0,CWLQFHAM,5535,31,Male,White,United States,United States,United States,English,Yes,Full-Time
698e0e20c10e3cea2b06b8a2,6266aa7132e3a5bf1631ac1b,RETURNED,Not Applicable,,,,2026-02-13T15:06:22.357349Z,,,5876,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e0e4e8fe107d625a21eab,682634b74da614d118d7990e,AWAITING REVIEW,Not Applicable,2026-02-12T17:30:59.648000Z,2026-02-12T17:56:38.883000Z,,2026-02-12T17:56:39.235962Z,1540.0,CWLQFHAM,2178,28,Male,White,United States,United States,United States,English,No,Full-Time
